"metric_title","unit","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03"
"MRR Roll-forward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beginning MRR","cad","0","90.00","315.00","315.00","660.00","660.00","645.00","765.00","855.00","900.00","1080.00","1290.00","1365.00","1455.00","1530.00","1770.00","1950.00","2520.00","2640.00","2745.00","2730.00","2775.00","2655.00","2820.00","2895.00","3577.50","3903.98","6818.21","8750.45","8866.08","9162.86","10899.17","11729.05","12134.25","12648.35","13794.64","14394.64","15142.59","17559.89","19680.87","20163.55","21019.50","21786.68","22237.49","22399.62","23051.25","23591.84","24041.03","26150.57"
"New MRR","cad","90.00","225.00","0.00","300.00","0.00","30.00","120.00","120.00","45.00","315.00","120.00","225.00","195.00","570.00","165.00","285.00","630.00","120.00","105.00","225.00","525.00","525.00","90.00","105.00","442.50","533.25","1885.51","1694.74","210.50","586.36","1836.29","1004.45","851.27","480.83","925.25","895.60","1676.89","2396.94","1080.34","677.63","563.67","1384.14","715.19","818.02","718.82","672.27","927.72","755.25","0.00"
"Reactivated MRR","cad","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","165.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","0.00","0.00","45.00","0.00","150.00","0.00","435.00","47.82","1917.44","1591.78","208.43","0.00","207.01","0.00","55.00","715.00","280.23","178.47","683.33","30.00","97.27","260.53","340.00","158.38","325.73","678.93","49.39","443.69","30.00","287.56","0.00"
"Expansion MRR","cad","0.00","0.00","0.00","45.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","30.00","0.00","75.00","120.00","30.00","0.00","0.00","30.00","0.00","30.00","0.00","45.00","90.00","272.82","105.00","105.00","45.00","45.00","110.00","109.77","0.00","342.26","225.00","400.00","55.00","1450.97","1653.09","329.34","68.21","540.00","480.39","377.46","260.52","330.14","480.00","2871.69","0.00"
"Contraction MRR","cad","0.00","0.00","0.00","0.00","0.00","-45.00","0.00","0.00","0.00","0.00","0.00","-45.00","0.00","0.00","0.00","-180.00","-45.00","0.00","0.00","0.00","0.00","0.00","0.00","-45.00","0.00","-122.82","0.00","-210.00","-45.00","0.00","-165.00","0.00","-45.00","0.00","-140.42","-265.00","-30.00","-363.14","-428.80","-195.00","-95.88","-375.00","-636.16","-159.78","0.00","-419.23","-243.53","-1618.68","0.00"
"Churned MRR","cad","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-30.00","0.00","-135.00","-75.00","-135.00","-135.00","-495.00","0.00","-45.00","-45.00","-60.00","0.00","-270.00","-525.00","-675.00","-75.00","-30.00","-285.00","-405.00","-988.71","-1248.67","-336.91","-255.00","-255.00","-446.86","-491.23","-1195.00","-220.51","-571.01","-1596.74","-698.13","-230.43","-482.41","-224.33","-849.00","-579.81","-1657.13","-307.57","-282.75","-661.96","-205.76","0.00"
"FX adjustment MRR","cad","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.41","-5.01","-0.61","33.61","-79.58","3.01","162.52","35.16","171.01","76.74","-38.06","-40.53","-399.34","-50.49","-107.41","204.28","-91.34","145.47","104.63","-69.53","-203.53","-83.04","19.48","0.00"
"Ending MRR","cad","90.00","315.00","315.00","660.00","660.00","645.00","765.00","855.00","900.00","1080.00","1290.00","1365.00","1455.00","1530.00","1770.00","1950.00","2520.00","2640.00","2745.00","2730.00","2775.00","2655.00","2820.00","2895.00","3577.50","3903.98","6818.21","8750.45","8866.08","9162.86","10899.17","11729.05","12134.25","12648.35","13794.64","14394.64","15142.59","17559.89","19680.87","20163.55","21019.50","21786.68","22237.49","22399.62","23051.25","23591.84","24041.03","26150.57","26150.57"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
